"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 19, 2024 10:37:50 AM PST","22133108361","Order","112-5492200-9645826","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","ESCONDIDO","CA","92026","MarketplaceFacilitator","129.99","10.07","2.99","0","0","0","0","0","-2.99","0","-10.07","-10.92","-4.27","-0.33","0","114.47"
"Nov 19, 2024 12:01:51 PM PST","22133108361","Refund","111-6761980-3313845","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Standard Orders","Amazon","Shawnee","KS","66226","MarketplaceFacilitator","-129.99","-12.48","0","0","0","0","0","0","0","0","12.48","14.62","0","0.55","0","-114.82"
"Nov 19, 2024 12:59:51 PM PST","22133108361","Liquidations","16894755118551","B0CRDY31JC","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS and Android Compatible (Phantom Black)","1","","Standard Orders","","","","","","3.80","0","0","0","0","0","0","0","0","0","0","0","0","-0.85","0","2.95"
"Nov 19, 2024 1:31:47 PM PST","22133108361","Order","111-1873221-8104200","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","SAN BERNARDINO","CA","92404","MarketplaceFacilitator","129.99","10.07","0","0","0","0","0","0","0","0","-10.07","-10.92","-4.27","-0.33","0","114.47"
"Nov 19, 2024 1:37:52 PM PST","22133108361","Order","114-6781377-7913049","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Standard Orders","Amazon","BUFORD","GA","30518","MarketplaceFacilitator","129.99","9.10","0","0","0","0","0","0","0","0","-9.10","-10.92","-4.27","-0.33","0","114.47"
"Nov 19, 2024 2:19:27 PM PST","22133108361","Order","114-9994921-3169013","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Standard Orders","Amazon","stanley","nc","28164","MarketplaceFacilitator","129.99","9.10","0","0","0","0","0","0","0","0","-9.10","-10.92","-4.27","-0.33","0","114.47"
"Nov 19, 2024 6:46:10 PM PST","22133108361","Refund","112-8032536-2073850","MOSWZ40-RG","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","Ennis","TX","75119","MarketplaceFacilitator","-64.99","-5.36","0","0","0","0","0","0","0","0","5.36","4.37","0","0.17","0","-60.45"
"Nov 19, 2024 7:39:01 PM PST","20788828331","Transfer","","","To your account ending in: 899, Bank Transfer ID: 12809K200003GD, 12809K200003GD","","","Invoiced Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-106.90","-106.90"
"Nov 19, 2024 7:39:01 PM PST","22133108361","Transfer","","","To your account ending in: 899, Bank Transfer ID: 12809K20000DGD, 12809K20000DGD","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3,184.04","-3,184.04"
"Nov 19, 2024 8:05:57 PM PST","22133108361","Order","113-7540951-4105827","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Standard Orders","Amazon","San Marcos","TX","78666","MarketplaceFacilitator","129.99","0","0","0","0","0","0","0","0","0","0","-10.92","-4.27","0","0","114.80"
